Funktionsname,Component
GMImage.GetAdjoin,GraphicsMagick
GMImage.GetAnimationDelay,GraphicsMagick
GMImage.GetAnimationIterations,GraphicsMagick
GMImage.GetAntiAlias,GraphicsMagick
GMImage.GetAttribute,GraphicsMagick
GMImage.GetAttributeNames,GraphicsMagick
GMImage.GetAttributesJSON,GraphicsMagick
GMImage.GetBackgroundColor,GraphicsMagick
GMImage.GetBackgroundTexture,GraphicsMagick
GMImage.GetBorderColor,GraphicsMagick
GMImage.GetBoxColor,GraphicsMagick
GMImage.GetChannelDepth,GraphicsMagick
GMImage.GetClassType,GraphicsMagick
GMImage.GetClipMask,GraphicsMagick
GMImage.GetColorFuzz,GraphicsMagick
GMImage.GetColorMapSize,GraphicsMagick
GMImage.GetColorSpace,GraphicsMagick
GMImage.GetComment,GraphicsMagick
GMImage.GetCompose,GraphicsMagick
GMImage.GetCompressType,GraphicsMagick
GMImage.GetDebug,GraphicsMagick
GMImage.GetDefineSet,GraphicsMagick
GMImage.GetDefineValue,GraphicsMagick
GMImage.GetDensity,GraphicsMagick
GMImage.GetDepth,GraphicsMagick
GMImage.GetEXIFOrientation,GraphicsMagick
GMImage.GetEndian,GraphicsMagick
GMImage.GetFileName,GraphicsMagick
GMImage.GetFileSize,GraphicsMagick
GMImage.GetFillColor,GraphicsMagick
GMImage.GetFillRule,GraphicsMagick
GMImage.GetFilterType,GraphicsMagick
GMImage.GetFont,GraphicsMagick
GMImage.GetFontFamily,GraphicsMagick
GMImage.GetFontPointSize,GraphicsMagick
GMImage.GetFontStretch,GraphicsMagick
GMImage.GetFontStyle,GraphicsMagick
GMImage.GetFontWeight,GraphicsMagick
GMImage.GetGamma,GraphicsMagick
GMImage.GetGifDisposeMethod,GraphicsMagick
GMImage.GetHeight,GraphicsMagick
GMImage.GetICCColorProfile,GraphicsMagick
GMImage.GetIPTCProfile,GraphicsMagick
GMImage.GetIPTCProfileValues,GraphicsMagick
GMImage.GetInterlaceType,GraphicsMagick
GMImage.GetIsValid,GraphicsMagick
GMImage.GetJPEGAsBase64,GraphicsMagick
GMImage.GetJPEGAsHex,GraphicsMagick
GMImage.GetLabel,GraphicsMagick
GMImage.GetLineWidth,GraphicsMagick
GMImage.GetMagick,GraphicsMagick
GMImage.GetMatte,GraphicsMagick
GMImage.GetMatteColor,GraphicsMagick
GMImage.GetModulusDepth,GraphicsMagick
GMImage.GetMonochrome,GraphicsMagick
GMImage.GetOrientation,GraphicsMagick
GMImage.GetPNGAsBase64,GraphicsMagick
